source,target,weight,type
112,3,2.0,chemical
112,4,1.0,chemical
112,7,2.0,chemical
112,85,3.0,chemical
112,87,7.0,chemical
113,224,3.0,chemical
113,45,4.0,chemical
113,65,3.0,chemical
113,73,4.0,chemical
114,102,1.0,chemical
114,103,2.0,chemical
114,116,2.0,chemical
114,125,1.0,chemical
114,141,1.0,chemical
114,142,3.0,chemical
114,150,2.0,chemical
114,192,1.0,chemical
114,2,11.0,chemical
114,216,1.0,chemical
115,131,1.0,chemical
115,132,1.0,chemical
115,133,14.0,chemical
115,134,1.0,chemical
115,14,1.0,chemical
115,15,4.0,chemical
115,3,1.0,chemical
115,4,1.0,chemical
115,74,3.0,chemical
115,87,3.0,chemical
116,108,12.0,chemical
116,11,4.0,chemical
116,114,4.0,chemical
116,115,7.0,chemical
116,123,3.0,chemical
116,125,2.0,chemical
116,127,3.0,chemical
116,129,1.0,chemical
116,139,1.0,chemical
116,140,1.0,chemical
116,2,1.0,chemical
117,101,3.0,chemical
117,104,1.0,chemical
117,114,7.0,chemical
117,118,2.0,chemical
117,119,4.0,chemical
117,13,2.0,chemical
117,133,1.0,chemical
117,14,4.0,chemical
117,142,1.0,chemical
117,2,5.0,chemical
117,23,1.0,chemical
117,85,6.0,chemical
118,119,2.0,chemical
118,126,1.0,chemical
118,13,70.0,chemical
118,152,1.0,chemical
118,153,2.0,chemical
118,154,2.0,chemical
118,157,1.0,chemical
118,158,1.0,chemical
118,160,3.0,chemical
118,161,2.0,chemical
118,162,6.0,chemical
118,163,4.0,chemical
118,164,3.0,chemical
118,167,1.0,chemical
118,168,1.0,chemical
118,171,3.0,chemical
118,174,3.0,chemical
118,177,1.0,chemical
118,179,1.0,chemical
118,180,3.0,chemical
118,182,1.0,chemical
118,183,2.0,chemical
118,187,6.0,chemical
118,193,1.0,chemical
118,194,1.0,chemical
118,195,1.0,chemical
118,85,1.0,chemical
119,118,2.0,chemical
119,152,1.0,chemical
119,153,2.0,chemical
119,154,2.0,chemical
119,157,1.0,chemical
119,158,1.0,chemical
119,160,3.0,chemical
119,161,2.0,chemical
119,162,6.0,chemical
119,163,4.0,chemical
119,164,3.0,chemical
119,167,1.0,chemical
119,168,1.0,chemical
119,173,1.0,chemical
119,174,3.0,chemical
119,175,6.0,chemical
119,177,1.0,chemical
119,179,1.0,chemical
119,180,3.0,chemical
119,182,1.0,chemical
119,183,2.0,chemical
119,185,3.0,chemical
119,193,1.0,chemical
119,194,1.0,chemical
119,195,1.0,chemical
119,3,70.0,chemical
119,87,1.0,chemical
12,119,1.0,chemical
12,13,2.0,chemical
12,14,6.0,chemical
12,15,9.0,chemical
12,4,4.0,chemical
120,118,3.0,chemical
120,124,1.0,chemical
120,126,1.0,chemical
120,13,2.0,chemical
120,143,1.0,chemical
120,149,1.0,chemical
120,173,3.0,chemical
120,175,1.0,chemical
120,200,1.0,chemical
120,205,2.0,chemical
120,206,1.0,chemical
120,5,4.0,chemical
120,85,1.0,chemical
120,87,5.0,chemical
120,91,2.0,chemical
121,101,8.0,chemical
121,103,7.0,chemical
121,115,1.0,chemical
121,14,3.0,chemical
121,85,1.0,chemical
121,86,1.0,chemical
122,110,3.0,chemical
122,115,11.0,chemical
122,116,1.0,chemical
122,118,5.0,chemical
122,119,2.0,chemical
122,123,10.0,chemical
122,124,1.0,chemical
122,125,3.0,chemical
122,126,2.0,chemical
122,21,1.0,chemical
122,22,1.0,chemical
122,3,2.0,chemical
122,32,1.0,chemical
122,85,1.0,chemical
122,87,2.0,chemical
122,99,2.0,chemical
123,107,1.0,chemical
123,109,1.0,chemical
123,115,12.0,chemical
123,116,1.0,chemical
123,122,1.0,chemical
123,125,1.0,chemical
123,140,1.0,chemical
123,206,2.0,chemical
124,104,3.0,chemical
124,105,1.0,chemical
124,119,1.0,chemical
124,120,1.0,chemical
124,122,2.0,chemical
124,146,2.0,chemical
124,199,2.0,chemical
124,201,1.0,chemical
124,202,1.0,chemical
124,203,5.0,chemical
124,204,4.0,chemical
124,85,1.0,chemical
124,9,1.0,chemical
124,90,1.0,chemical
124,99,2.0,chemical
125,108,9.0,chemical
125,11,4.0,chemical
125,115,3.0,chemical
125,122,1.0,chemical
125,123,2.0,chemical
125,139,2.0,chemical
125,2,1.0,chemical
126,118,3.0,chemical
126,119,6.0,chemical
126,120,3.0,chemical
126,13,7.0,chemical
126,138,4.0,chemical
126,152,1.0,chemical
126,155,2.0,chemical
126,161,1.0,chemical
126,169,5.0,chemical
126,170,3.0,chemical
126,172,1.0,chemical
126,173,3.0,chemical
126,185,1.0,chemical
126,188,1.0,chemical
126,193,7.0,chemical
126,233,4.0,chemical
126,254,4.0,chemical
126,255,1.0,chemical
126,257,1.0,chemical
126,263,1.0,chemical
126,264,4.0,chemical
126,265,1.0,chemical
126,266,5.0,chemical
126,267,3.0,chemical
126,268,2.0,chemical
126,3,9.0,chemical
126,4,2.0,chemical
126,43,1.0,chemical
126,5,1.0,chemical
126,79,2.0,chemical
126,85,4.0,chemical
126,87,16.0,chemical
126,91,2.0,chemical
126,97,5.0,chemical
127,11,7.0,chemical
127,128,1.0,chemical
128,114,2.0,chemical
128,116,3.0,chemical
128,127,5.0,chemical
128,15,1.0,chemical
128,2,2.0,chemical
128,40,1.0,chemical
128,6,3.0,chemical
128,97,1.0,chemical
129,108,11.0,chemical
129,116,1.0,chemical
13,118,2.0,chemical
13,152,1.0,chemical
13,153,4.0,chemical
13,154,9.0,chemical
13,155,3.0,chemical
13,156,2.0,chemical
13,157,2.0,chemical
13,158,4.0,chemical
13,159,2.0,chemical
13,160,4.0,chemical
13,161,4.0,chemical
13,162,9.0,chemical
13,163,12.0,chemical
13,164,9.0,chemical
13,165,2.0,chemical
13,166,7.0,chemical
13,167,14.0,chemical
13,168,5.0,chemical
13,169,3.0,chemical
13,17,1.0,chemical
13,170,2.0,chemical
13,171,5.0,chemical
13,172,2.0,chemical
13,173,28.0,chemical
13,174,1.0,chemical
13,175,2.0,chemical
13,176,10.0,chemical
13,177,14.0,chemical
13,178,2.0,chemical
13,179,3.0,chemical
13,180,4.0,chemical
13,181,4.0,chemical
13,182,6.0,chemical
13,183,4.0,chemical
13,184,2.0,chemical
13,3,3.0,chemical
13,4,4.0,chemical
13,85,2.0,chemical
130,115,2.0,chemical
130,118,6.0,chemical
130,119,14.0,chemical
130,13,13.0,chemical
130,138,1.0,chemical
130,2,1.0,chemical
130,225,1.0,chemical
130,3,18.0,chemical
130,64,1.0,chemical
130,68,2.0,chemical
130,85,4.0,chemical
130,87,5.0,chemical
131,107,1.0,chemical
131,120,1.0,chemical
131,13,2.0,chemical
131,2,4.0,chemical
131,211,2.0,chemical
131,212,3.0,chemical
131,213,3.0,chemical
131,214,1.0,chemical
131,45,4.0,chemical
131,48,2.0,chemical
131,49,1.0,chemical
131,74,2.0,chemical
131,75,3.0,chemical
131,8,1.0,chemical
131,85,2.0,chemical
131,87,5.0,chemical
131,91,1.0,chemical
132,13,5.0,chemical
132,131,5.0,chemical
132,133,3.0,chemical
132,2,1.0,chemical
132,94,1.0,chemical
133,13,1.0,chemical
133,15,1.0,chemical
133,211,1.0,chemical
133,212,3.0,chemical
133,213,2.0,chemical
133,45,4.0,chemical
133,48,1.0,chemical
133,49,3.0,chemical
133,73,1.0,chemical
133,75,5.0,chemical
133,78,1.0,chemical
133,85,2.0,chemical
133,87,3.0,chemical
133,91,1.0,chemical
134,115,1.0,chemical
134,132,9.0,chemical
134,133,1.0,chemical
134,174,1.0,chemical
134,179,1.0,chemical
134,180,1.0,chemical
134,197,3.0,chemical
134,198,1.0,chemical
134,201,2.0,chemical
134,215,2.0,chemical
134,220,1.0,chemical
134,45,5.0,chemical
134,73,4.0,chemical
135,1,3.0,chemical
135,100,1.0,chemical
135,129,5.0,chemical
135,136,2.0,chemical
135,15,1.0,chemical
135,29,1.0,chemical
135,40,1.0,chemical
135,8,2.0,chemical
136,106,1.0,chemical
136,108,6.0,chemical
136,11,12.0,chemical
136,114,4.0,chemical
136,115,3.0,chemical
136,125,2.0,chemical
136,139,4.0,chemical
136,2,7.0,chemical
136,7,1.0,chemical
137,103,1.0,chemical
137,11,2.0,chemical
137,116,1.0,chemical
137,125,2.0,chemical
137,136,1.0,chemical
137,139,2.0,chemical
137,142,2.0,chemical
137,2,1.0,chemical
138,100,1.0,chemical
138,103,3.0,chemical
138,104,1.0,chemical
138,105,3.0,chemical
138,113,2.0,chemical
138,12,1.0,chemical
138,126,5.0,chemical
138,13,3.0,chemical
138,131,1.0,chemical
138,134,1.0,chemical
138,14,1.0,chemical
138,169,3.0,chemical
138,170,1.0,chemical
138,178,1.0,chemical
138,186,2.0,chemical
138,193,1.0,chemical
138,202,3.0,chemical
138,212,1.0,chemical
138,213,1.0,chemical
138,233,1.0,chemical
138,254,2.0,chemical
138,255,2.0,chemical
138,4,8.0,chemical
138,43,2.0,chemical
138,5,6.0,chemical
138,7,2.0,chemical
138,73,1.0,chemical
138,85,1.0,chemical
138,86,2.0,chemical
138,90,3.0,chemical
139,11,13.0,chemical
139,114,2.0,chemical
139,115,1.0,chemical
139,123,4.0,chemical
139,13,1.0,chemical
139,14,2.0,chemical
139,2,1.0,chemical
14,210,3.0,chemical
14,24,10.0,chemical
14,35,2.0,chemical
14,36,6.0,chemical
14,44,7.0,chemical
14,47,10.0,chemical
14,48,6.0,chemical
14,49,5.0,chemical
14,7,1.0,chemical
14,74,9.0,chemical
14,75,8.0,chemical
14,76,12.0,chemical
14,78,3.0,chemical
14,89,1.0,chemical
140,104,1.0,chemical
140,106,3.0,chemical
140,108,2.0,chemical
140,109,7.0,chemical
140,111,2.0,chemical
140,116,2.0,chemical
140,129,9.0,chemical
140,136,1.0,chemical
140,206,2.0,chemical
141,114,9.0,chemical
141,128,1.0,chemical
141,142,1.0,chemical
141,2,3.0,chemical
142,114,11.0,chemical
142,145,1.0,chemical
142,150,2.0,chemical
142,2,3.0,chemical
143,103,1.0,chemical
143,109,1.0,chemical
143,115,1.0,chemical
143,117,2.0,chemical
143,118,3.0,chemical
143,120,1.0,chemical
143,121,1.0,chemical
143,131,1.0,chemical
143,149,1.0,chemical
143,158,1.0,chemical
143,164,2.0,chemical
143,165,1.0,chemical
143,170,1.0,chemical
143,174,1.0,chemical
143,182,1.0,chemical
143,183,1.0,chemical
143,187,3.0,chemical
143,192,1.0,chemical
143,2,1.0,chemical
143,203,2.0,chemical
143,205,2.0,chemical
143,206,3.0,chemical
143,239,4.0,chemical
143,245,5.0,chemical
143,246,2.0,chemical
143,45,24.0,chemical
143,88,1.0,chemical
143,96,2.0,chemical
144,110,1.0,chemical
144,123,3.0,chemical
144,125,2.0,chemical
144,136,2.0,chemical
144,139,1.0,chemical
145,142,4.0,chemical
145,146,13.0,chemical
146,114,6.0,chemical
146,142,4.0,chemical
146,145,1.0,chemical
146,188,1.0,chemical
146,192,3.0,chemical
146,194,1.0,chemical
146,196,1.0,chemical
146,201,1.0,chemical
146,220,1.0,chemical
146,40,1.0,chemical
146,94,1.0,chemical
147,143,1.0,chemical
147,148,4.0,chemical
147,149,13.0,chemical
148,115,1.0,chemical
148,123,11.0,chemical
148,140,1.0,chemical
148,151,1.0,chemical
149,123,7.0,chemical
149,143,1.0,chemical
149,148,4.0,chemical
149,188,1.0,chemical
149,194,1.0,chemical
149,196,1.0,chemical
149,200,1.0,chemical
149,201,1.0,chemical
149,206,1.0,chemical
149,220,1.0,chemical
149,40,1.0,chemical
15,115,1.0,chemical
15,119,1.0,chemical
15,12,1.0,chemical
15,13,1.0,chemical
15,14,3.0,chemical
15,4,2.0,chemical
15,5,5.0,chemical
15,76,2.0,chemical
15,87,1.0,chemical
150,105,1.0,chemical
150,114,5.0,chemical
150,118,1.0,chemical
150,119,1.0,chemical
150,120,1.0,chemical
150,124,2.0,chemical
150,141,2.0,chemical
150,142,2.0,chemical
150,146,1.0,chemical
150,199,1.0,chemical
150,200,1.0,chemical
150,203,4.0,chemical
150,216,1.0,chemical
150,217,1.0,chemical
150,40,2.0,chemical
150,5,1.0,chemical
150,87,2.0,chemical
151,119,1.0,chemical
151,123,4.0,chemical
151,143,2.0,chemical
151,147,2.0,chemical
151,148,2.0,chemical
151,192,1.0,chemical
151,200,2.0,chemical
151,203,3.0,chemical
151,206,1.0,chemical
151,29,2.0,chemical
151,40,1.0,chemical
151,88,2.0,chemical
151,99,1.0,chemical
152,160,1.0,chemical
152,201,1.0,chemical
152,45,1.0,chemical
153,166,1.0,chemical
153,250,16.0,chemical
153,269,2.0,chemical
153,45,15.0,chemical
154,162,1.0,chemical
154,167,1.0,chemical
154,168,1.0,chemical
154,228,16.0,chemical
154,250,2.0,chemical
154,45,15.0,chemical
155,161,1.0,chemical
155,198,1.0,chemical
155,45,15.0,chemical
156,162,1.0,chemical
156,190,16.0,chemical
156,198,2.0,chemical
156,45,15.0,chemical
157,190,2.0,chemical
157,232,16.0,chemical
157,45,15.0,chemical
158,163,1.0,chemical
158,232,2.0,chemical
158,235,16.0,chemical
158,45,15.0,chemical
159,164,1.0,chemical
159,235,2.0,chemical
159,270,16.0,chemical
159,45,15.0,chemical
16,17,1.0,chemical
16,18,2.0,chemical
16,19,4.0,chemical
16,20,5.0,chemical
16,21,6.0,chemical
16,22,4.0,chemical
16,23,1.0,chemical
16,24,3.0,chemical
16,25,1.0,chemical
16,26,2.0,chemical
16,27,2.0,chemical
16,5,3.0,chemical
160,198,1.0,chemical
160,201,1.0,chemical
160,45,10.0,chemical
161,190,6.0,chemical
161,198,23.0,chemical
161,201,1.0,chemical
161,220,1.0,chemical
161,45,29.0,chemical
162,163,1.0,chemical
162,190,23.0,chemical
162,232,6.0,chemical
162,234,1.0,chemical
162,45,29.0,chemical
163,164,1.0,chemical
163,232,23.0,chemical
163,235,6.0,chemical
163,270,1.0,chemical
163,276,1.0,chemical
163,45,29.0,chemical
164,165,1.0,chemical
164,270,23.0,chemical
164,272,1.0,chemical
164,277,1.0,chemical
164,45,29.0,chemical
165,166,1.0,chemical
165,269,1.0,chemical
165,274,23.0,chemical
165,277,1.0,chemical
165,45,29.0,chemical
166,167,1.0,chemical
166,228,1.0,chemical
166,250,23.0,chemical
166,45,29.0,chemical
166,98,1.0,chemical
167,168,1.0,chemical
167,222,1.0,chemical
167,228,23.0,chemical
167,45,29.0,chemical
167,98,1.0,chemical
168,222,1.0,chemical
168,228,23.0,chemical
168,45,29.0,chemical
168,98,1.0,chemical
169,157,1.0,chemical
169,190,1.0,chemical
169,232,9.0,chemical
169,234,4.0,chemical
169,235,22.0,chemical
169,270,7.0,chemical
169,276,9.0,chemical
169,45,22.0,chemical
17,114,5.0,chemical
17,115,1.0,chemical
17,116,3.0,chemical
17,117,2.0,chemical
17,118,1.0,chemical
17,119,4.0,chemical
17,120,1.0,chemical
17,121,2.0,chemical
17,13,2.0,chemical
17,2,6.0,chemical
17,20,1.0,chemical
17,23,1.0,chemical
17,3,4.0,chemical
17,74,2.0,chemical
17,85,1.0,chemical
17,93,1.0,chemical
17,99,2.0,chemical
170,235,1.0,chemical
170,270,9.0,chemical
170,271,1.0,chemical
170,272,22.0,chemical
170,273,1.0,chemical
170,274,7.0,chemical
170,277,4.0,chemical
170,278,9.0,chemical
170,45,22.0,chemical
171,118,4.0,chemical
171,119,2.0,chemical
171,120,1.0,chemical
171,13,5.0,chemical
171,208,1.0,chemical
171,256,1.0,chemical
171,257,1.0,chemical
171,3,4.0,chemical
172,126,2.0,chemical
172,138,61.0,chemical
172,186,1.0,chemical
172,191,4.0,chemical
172,214,22.0,chemical
172,218,1.0,chemical
172,247,1.0,chemical
172,43,2.0,chemical
173,118,6.0,chemical
173,119,1.0,chemical
173,126,1.0,chemical
173,13,8.0,chemical
173,130,1.0,chemical
173,138,4.0,chemical
173,152,1.0,chemical
173,155,2.0,chemical
173,161,1.0,chemical
173,169,5.0,chemical
173,170,3.0,chemical
173,171,1.0,chemical
173,186,1.0,chemical
173,188,1.0,chemical
173,193,7.0,chemical
173,202,1.0,chemical
173,221,1.0,chemical
173,233,4.0,chemical
173,254,4.0,chemical
173,255,1.0,chemical
173,263,1.0,chemical
173,264,4.0,chemical
173,265,1.0,chemical
173,266,5.0,chemical
173,267,3.0,chemical
173,268,2.0,chemical
173,3,10.0,chemical
173,4,3.0,chemical
173,43,1.0,chemical
173,5,1.0,chemical
173,80,1.0,chemical
173,85,9.0,chemical
173,87,6.0,chemical
173,97,4.0,chemical
174,179,1.0,chemical
175,191,1.0,chemical
176,177,1.0,chemical
176,278,8.0,chemical
176,45,10.0,chemical
177,178,1.0,chemical
177,228,2.0,chemical
177,250,3.0,chemical
177,45,10.0,chemical
177,98,8.0,chemical
178,126,2.0,chemical
178,154,2.0,chemical
178,167,3.0,chemical
178,168,5.0,chemical
178,171,2.0,chemical
178,173,3.0,chemical
178,177,1.0,chemical
178,184,11.0,chemical
178,222,2.0,chemical
178,254,4.0,chemical
178,45,14.0,chemical
178,98,2.0,chemical
179,180,1.0,chemical
179,198,3.0,chemical
179,201,1.0,chemical
179,220,8.0,chemical
179,45,10.0,chemical
18,23,7.0,chemical
18,24,11.0,chemical
18,42,1.0,chemical
18,45,10.0,chemical
18,54,1.0,chemical
180,181,1.0,chemical
180,190,2.0,chemical
180,198,3.0,chemical
180,220,18.0,chemical
180,234,11.0,chemical
180,45,31.0,chemical
181,182,1.0,chemical
181,232,1.0,chemical
181,234,8.0,chemical
181,45,10.0,chemical
182,183,1.0,chemical
182,232,3.0,chemical
182,235,2.0,chemical
182,276,8.0,chemical
182,45,10.0,chemical
183,189,1.0,chemical
183,276,8.0,chemical
183,45,10.0,chemical
184,178,1.0,chemical
184,45,8.0,chemical
185,118,1.0,chemical
185,119,3.0,chemical
185,13,3.0,chemical
185,173,3.0,chemical
185,195,1.0,chemical
185,257,1.0,chemical
185,3,7.0,chemical
185,43,1.0,chemical
185,99,1.0,chemical
186,138,61.0,chemical
186,172,1.0,chemical
186,173,2.0,chemical
186,191,4.0,chemical
186,218,1.0,chemical
186,219,22.0,chemical
186,247,1.0,chemical
186,43,2.0,chemical
187,191,1.0,chemical
188,112,1.0,chemical
188,152,1.0,chemical
188,161,1.0,chemical
188,174,5.0,chemical
188,175,7.0,chemical
188,200,1.0,chemical
188,220,1.0,chemical
188,221,1.0,chemical
188,222,3.0,chemical
188,45,6.0,chemical
188,5,1.0,chemical
188,98,2.0,chemical
189,270,3.0,chemical
189,272,2.0,chemical
189,277,8.0,chemical
189,280,1.0,chemical
189,45,10.0,chemical
19,15,7.0,chemical
19,16,2.0,chemical
19,18,1.0,chemical
19,24,7.0,chemical
19,36,1.0,chemical
19,44,1.0,chemical
19,48,2.0,chemical
19,5,19.0,chemical
19,52,2.0,chemical
19,72,2.0,chemical
19,73,1.0,chemical
19,74,3.0,chemical
19,75,4.0,chemical
19,76,4.0,chemical
19,77,1.0,chemical
190,156,2.0,chemical
190,238,2.0,chemical
190,45,25.0,chemical
192,103,2.0,chemical
192,109,1.0,chemical
192,110,2.0,chemical
192,111,2.0,chemical
192,114,2.0,chemical
192,117,1.0,chemical
192,118,3.0,chemical
192,120,2.0,chemical
192,121,2.0,chemical
192,133,2.0,chemical
192,142,1.0,chemical
192,143,3.0,chemical
192,147,1.0,chemical
192,158,1.0,chemical
192,164,1.0,chemical
192,174,1.0,chemical
192,183,1.0,chemical
192,187,3.0,chemical
192,203,6.0,chemical
192,216,3.0,chemical
192,239,2.0,chemical
192,245,10.0,chemical
192,45,25.0,chemical
193,158,1.0,chemical
193,159,1.0,chemical
193,232,1.0,chemical
193,235,9.0,chemical
193,270,22.0,chemical
193,272,7.0,chemical
193,276,4.0,chemical
193,277,9.0,chemical
193,45,22.0,chemical
194,10,5.0,chemical
194,115,3.0,chemical
194,13,5.0,chemical
194,15,1.0,chemical
194,196,1.0,chemical
194,2,1.0,chemical
194,211,4.0,chemical
194,214,2.0,chemical
194,215,2.0,chemical
194,219,1.0,chemical
194,3,7.0,chemical
194,85,1.0,chemical
194,9,5.0,chemical
195,119,23.0,chemical
195,13,7.0,chemical
195,171,1.0,chemical
195,205,1.0,chemical
195,227,1.0,chemical
195,3,7.0,chemical
196,10,3.0,chemical
196,112,2.0,chemical
196,115,5.0,chemical
196,167,2.0,chemical
196,188,2.0,chemical
196,191,5.0,chemical
196,194,5.0,chemical
196,2,2.0,chemical
196,211,4.0,chemical
196,214,7.0,chemical
196,215,2.0,chemical
196,219,7.0,chemical
196,251,1.0,chemical
196,45,5.0,chemical
196,60,1.0,chemical
196,65,1.0,chemical
196,86,1.0,chemical
196,9,2.0,chemical
196,98,4.0,chemical
197,134,1.0,chemical
197,179,1.0,chemical
197,201,3.0,chemical
197,220,8.0,chemical
197,45,10.0,chemical
198,156,2.0,chemical
198,238,2.0,chemical
198,45,8.0,chemical
199,104,3.0,chemical
199,106,3.0,chemical
199,111,1.0,chemical
199,112,1.0,chemical
199,113,2.0,chemical
199,118,1.0,chemical
199,120,4.0,chemical
199,124,2.0,chemical
199,131,1.0,chemical
199,149,2.0,chemical
199,200,5.0,chemical
199,201,1.0,chemical
199,86,2.0,chemical
199,87,2.0,chemical
199,99,1.0,chemical
2,11,1.0,chemical
2,116,1.0,chemical
2,13,2.0,chemical
2,130,1.0,chemical
2,131,12.0,chemical
2,132,1.0,chemical
2,73,2.0,chemical
2,75,1.0,chemical
2,8,2.0,chemical
2,85,3.0,chemical
20,18,2.0,chemical
20,21,1.0,chemical
20,23,2.0,chemical
20,47,4.0,chemical
20,60,2.0,chemical
20,71,1.0,chemical
20,81,3.0,chemical
200,120,4.0,chemical
200,124,5.0,chemical
200,143,2.0,chemical
200,146,1.0,chemical
200,186,1.0,chemical
200,188,1.0,chemical
200,203,4.0,chemical
200,227,2.0,chemical
200,228,1.0,chemical
200,45,2.0,chemical
200,85,1.0,chemical
200,87,8.0,chemical
201,197,2.0,chemical
201,220,1.0,chemical
201,45,8.0,chemical
202,1,2.0,chemical
202,118,1.0,chemical
202,119,1.0,chemical
202,120,1.0,chemical
202,126,1.0,chemical
202,13,5.0,chemical
202,138,1.0,chemical
202,14,3.0,chemical
202,173,2.0,chemical
202,204,1.0,chemical
202,3,3.0,chemical
202,6,2.0,chemical
202,66,1.0,chemical
202,7,2.0,chemical
202,85,4.0,chemical
202,87,5.0,chemical
203,124,6.0,chemical
203,134,1.0,chemical
203,146,2.0,chemical
203,172,1.0,chemical
203,188,1.0,chemical
203,192,1.0,chemical
203,200,5.0,chemical
203,227,2.0,chemical
203,228,1.0,chemical
203,45,2.0,chemical
203,85,5.0,chemical
203,99,4.0,chemical
204,102,1.0,chemical
204,119,2.0,chemical
204,124,2.0,chemical
204,13,2.0,chemical
204,149,1.0,chemical
204,173,4.0,chemical
204,188,4.0,chemical
204,191,3.0,chemical
204,194,2.0,chemical
204,202,1.0,chemical
204,234,1.0,chemical
204,3,2.0,chemical
204,5,1.0,chemical
204,85,5.0,chemical
204,87,6.0,chemical
204,9,2.0,chemical
205,119,6.0,chemical
205,120,2.0,chemical
205,173,2.0,chemical
205,188,4.0,chemical
205,190,2.0,chemical
205,191,2.0,chemical
205,195,3.0,chemical
205,200,1.0,chemical
205,206,1.0,chemical
205,208,5.0,chemical
205,220,2.0,chemical
205,221,3.0,chemical
205,222,1.0,chemical
205,226,2.0,chemical
205,227,1.0,chemical
205,232,4.0,chemical
205,234,1.0,chemical
205,239,2.0,chemical
205,246,1.0,chemical
205,253,2.0,chemical
205,3,6.0,chemical
205,45,7.0,chemical
205,5,3.0,chemical
205,87,3.0,chemical
205,96,3.0,chemical
205,99,7.0,chemical
206,110,2.0,chemical
206,112,4.0,chemical
206,120,1.0,chemical
206,126,1.0,chemical
206,131,4.0,chemical
206,143,1.0,chemical
206,173,1.0,chemical
206,199,1.0,chemical
206,203,1.0,chemical
206,34,1.0,chemical
206,85,1.0,chemical
206,87,16.0,chemical
206,99,2.0,chemical
207,126,4.0,chemical
207,160,2.0,chemical
207,173,6.0,chemical
207,226,3.0,chemical
207,43,3.0,chemical
207,68,3.0,chemical
207,79,1.0,chemical
207,85,6.0,chemical
207,87,5.0,chemical
207,96,4.0,chemical
207,97,1.0,chemical
207,99,1.0,chemical
208,119,6.0,chemical
208,120,3.0,chemical
208,173,2.0,chemical
208,188,4.0,chemical
